Time,Muscle_Length,Muscle_Velocity,Total_Force
0.0,0.3,0.15697588432670048,1303.7801445916243
0.02004008016032064,0.3031458093051443,0.1566648859360189,1313.6063204954091
0.04008016032064128,0.3062791537449306,0.1557331230551524,1324.1710574158512
0.06012024048096192,0.309387617844429,0.1541842876748527,1335.432493939721
0.08016032064128256,0.3124588847138626,0.15202451685640028,1347.3460080710875
0.1002004008016032,0.31548078485270153,0.14926236841428242,1359.8643940402517
0.12024048096192384,0.31844134436974564,0.1459087870069622,1372.938049350534
0.1402805611222445,0.3213288324281309,0.14197706077006877,1386.5151713218067
0.16032064128256512,0.32413180772726347,0.1374827686638671,1400.5419623519565
0.18036072144288576,0.32683916383750433,0.13244371874363026,1414.9628430829753
0.2004008016032064,0.3294401732079701,0.1268798775975064,1429.7206726270272
0.22044088176352705,0.33192452967307573,0.12081329123147633,1444.7569749798818
0.24048096192384769,0.334282389289392,0.11426799771489193,1460.0121707245614
0.2605210420841683,0.3365044093410073,0.10726993193270395,1475.425813107142
0.280561122244489,0.33858178535883904,0.09984682282181545,1490.9368275492477
0.3006012024048096,0.34050628600721233,0.09202808349874125,1506.4837536482105
0.32064128256513025,0.34227028569946993,0.08384469471389089,1522.004988706046
0.3406813627254509,0.3438667948133803,0.07532908209433842,1537.4390318222177
0.3607214428857715,0.34528948738661785,0.06651498766144215,1552.724727583051
0.3807615230460922,0.3465327261825763,0.05743733613239321,1567.8015083822374
0.4008016032064128,0.3475915850271948,0.04813209653555539,1582.6096344121402
0.42084168336673344,0.3484618683282899,0.03863613968775503,1597.0904303751759
0.4408817635270541,0.3491401277000507,0.02898709209844874,1611.1865179770912
0.4609218436873747,0.34962367562682495,0.019223186879493426,1624.842043281108
0.48096192384769537,0.3499105961120544,0.009383112251340364,1638.0028980219877
0.501002004008016,0.3499997522701653,-0.0004941417540376136,1650.616934003043
0.5210420841683366,0.3498907908313314,-0.010369437786181379,1662.634169726721
0.5410821643286573,0.3495841435412602,-0.02020364625283655,1674.0069884398263
0.561122244488978,0.3490810254504562,-0.029957800365949083,1684.690326808805
0.5811623246492986,0.3483834300997392,-0.039593250542568015,1694.6418534774277
0.6012024048096192,0.34749412162109483,-0.049071817548835384,1703.8221367993285
0.6212424849699398,0.3464166237851566,-0.05835594378032205,1712.1948010808724
0.6412825651302605,0.3451552060387172,-0.06740884207918185,1719.7266707151289
0.6613226452905812,0.34371486658759415,-0.07619464149856547,1726.3879016359895
0.6813627254509018,0.3421013125918809,-0.0846785294366228,1732.1520995714213
0.7014028056112224,0.3403209375520582,-0.09282688957697616,1736.9964246273948
0.721442885771543,0.33838079597556925,-0.10060743508906356,1740.9016817880372
0.7414829659318637,0.33628857542424007,-0.10798933656053578,1743.85239697339
0.7615230460921844,0.3340525660533033,-0.11494334415486485,1745.8368783534909
0.781563126252505,0.3316816277627224,-0.12144190351006046,1746.8472626757427
0.8016032064128256,0.32918515509097634,-0.12745926491927229,1746.8795464220193
0.8216432865731462,0.32657303999040693,-0.13297158536072828,1745.9336016721313
0.8416833667334669,0.3238556326316285,-0.13795702297262302,1744.0131766106642
0.8617234468937875,0.32104370039230584,-0.14239582359869019,1741.1258806752803
0.8817635270541082,0.31814838519280325,-0.14627039906152284,1737.2831544053133
0.9018036072144289,0.3151811593477558,-0.14956539685345582,1732.5002241100874
0.9218436873747494,0.3121537801084964,-0.15226776096891204,1726.7960415366292
0.9418837675350701,0.3090782430764567,-0.15436678363715384,1720.1932087758128
0.9619238476953907,0.30596673467213753,-0.15585414775042494,1712.717888704444
0.9819639278557114,0.30283158384798275,-0.15672395981945098,1704.399701318262
1.002004008016032,0.2996852132364882,-0.15697277332561743,1695.5863931299984
1.0220440881763526,0.29654008992711633,-0.15659960237736126,1688.8296828259342
1.0420841683366733,0.2934086760670549,-0.15560592561664066,1681.3247591549107
1.062124248496994,0.2903033794815596,-0.15399568035999867,1673.1013594131177
1.0821643286573146,0.2872365045095399,-0.15177524699746492,1664.1920677659111
1.1022044088176353,0.2842202032491963,-0.14895342371106945,1654.6321861372294
1.122244488977956,0.28126642740689184,-0.1455413916131798,1644.4595943302584
1.1422845691382766,0.27838688094005076,-0.14155267044278208,1633.7145999335794
1.1623246492985972,0.27559297368173025,-0.13700306499524384,1622.439778607515
1.1823647294589177,0.2728957761306222,-0.13191060249784847,1610.679805383555
1.2024048096192383,0.2703059755856241,-0.1262954611792253,1598.48127764528
1.222444889779559,0.26783383379878956,-0.12017989031569254,1585.8925304921947
1.2424849699398797,0.265489146314454,-0.1135881220713868,1572.9634452181415
1.2625250501002003,0.2632812036556478,-0.10654627548140372,1559.7452516630503
1.282565130260521,0.26121875451159215,-0.09908225295846851,1546.29032522127
1.3026052104208417,0.25930997107214204,-0.09122562973323411,1532.6519793108268
1.3226452905811623,0.2575624166465327,-0.08300753666621574,1518.8842541258352
1.342685370741483,0.2559830156947386,-0.07446053689574406,1505.0417025091572
1.3627254509018036,0.2545780263901902,-0.06561849681072474,1491.1791737937863
1.3827655310621243,0.25335301582256525,-0.056516451859423,1477.3515964694093
1.4028056112224447,0.2523128379389108,-0.04719046772598645,1463.6137605353047
1.4228456913827654,0.2514616143105017,-0.037677497424818185,1450.020100402026
1.442885771543086,0.25080271780164354,-0.028015234878991713,1436.6244792020268
1.4629258517034067,0.25033875920513127,-0.018241965562930673,1423.4799753639259
1.4829659318637274,0.2500715768973177,-0.008396414801127072,1410.6386722960442
1.503006012024048,0.2500022295537835,0.0014824056759801252,1398.151452012592
